MR32 CSV
Name;Staw lokciowy zginanie, nadgarstkowy wyprost 2
Frequency;1500
Date;17-03-2023 12:32:00
"Time,s";"FLEX.CAPR.U RT,%";"BICEPS BR. RT,%";"BRACHIORAD. RT,%";"LAT. TRICEPS RT,%"
0,1327;1,328;3,138;1,168;1,049
0,1333;1,329;3,138;1,168;1,05
0,1340;1,329;3,138;1,168;1,051
0,1347;1,329;3,141;1,168;1,052
0,1353;1,329;3,141;1,171;1,053
0,1360;1,329;3,141;1,171;1,053
0,1367;1,329;3,141;1,171;1,055
0,1373;1,33;3,141;1,171;1,057
0,1380;1,334;3,141;1,171;1,058
0,1387;1,334;3,144;1,171;1,059
0,1393;1,334;3,147;1,171;1,059
0,1400;1,334;3,153;1,171;1,059
0,1407;1,334;3,161;1,171;1,059
0,1413;1,335;3,164;1,171;1,059
0,1420;1,336;3,167;1,174;1,059
0,1427;1,336;3,167;1,178;1,06
0,1433;1,336;3,169;1,181;1,06
0,1440;1,336;3,172;1,181;1,06
0,1447;1,336;3,172;1,181;1,06
0,1453;1,337;3,172;1,181;1,06
0,1460;1,337;3,175;1,181;1,061
0,1467;1,337;3,175;1,181;1,062
0,1473;1,338;3,175;1,184;1,063
0,1480;1,339;3,178;1,187;1,063
0,1487;1,339;3,178;1,187;1,065
0,1493;1,339;3,181;1,187;1,067
0,1500;1,341;3,183;1,187;1,067
0,1507;1,338;3,183;1,184;1,065
0,1513;1,338;3,183;1,187;1,063
0,1520;1,337;3,183;1,19;1,063
0,1527;1,335;3,183;1,187;1,061
0,1533;1,334;3,195;1,19;1,059
0,1540;1,334;3,228;1,193;1,063
0,1547;1,334;3,268;1,193;1,067
0,1553;1,334;3,315;1,193;1,071
0,1560;1,334;3,377;1,193;1,075
0,1567;1,332;3,436;1,193;1,083
0,1573;1,326;3,478;1,193;1,095
0,1580;1,322;3,504;1,193;1,108
0,1587;1,322;3,518;1,193;1,114
0,1593;1,322;3,523;1,196;1,118
0,1600;1,322;3,526;1,196;1,123
0,1607;1,323;3,529;1,196;1,128
0,1613;1,324;3,526;1,196;1,13
0,1620;1,323;3,526;1,196;1,132
0,1627;1,321;3,526;1,196;1,132
0,1633;1,321;3,529;1,196;1,131
0,1640;1,322;3,535;1,193;1,13
0,1647;1,322;3,543;1,193;1,129
0,1653;1,322;3,551;1,184;1,128
0,1660;1,325;3,563;1,187;1,127
0,1667;1,329;3,574;1,187;1,126
0,1673;1,33;3,582;1,184;1,125
0,1680;1,33;3,585;1,171;1,124
0,1687;1,33;3,58;1,165;1,123
0,1693;1,329;3,574;1,162;1,12
0,1700;1,328;3,568;1,153;1,117
0,1707;1,326;3,566;1,149;1,115
0,1713;1,326;3,563;1,149;1,113
0,1720;1,326;3,571;1,149;1,11
0,1727;1,328;3,58;1,149;1,111
0,1733;1,326;3,591;1,149;1,113
0,1740;1,323;3,599;1,149;1,114
0,1747;1,322;3,602;1,149;1,114
0,1753;1,322;3,605;1,149;1,117
0,1760;1,321;3,608;1,149;1,121
0,1767;1,321;3,608;1,146;1,123
0,1773;1,321;3,61;1,146;1,127
0,1780;1,323;3,608;1,146;1,132
0,1787;1,324;3,599;1,146;1,131
0,1793;1,324;3,599;1,14;1,129
0,1800;1,324;3,599;1,14;1,128
0,1807;1,324;3,596;1,143;1,125
0,1813;1,323;3,596;1,14;1,122
0,1820;1,324;3,596;1,137;1,117
0,1827;1,323;3,596;1,137;1,115
0,1833;1,322;3,596;1,137;1,112
0,1840;1,322;3,596;1,137;1,108
0,1847;1,323;3,599;1,137;1,105
0,1853;1,323;3,599;1,137;1,103
0,1860;1,322;3,596;1,127;1,103
0,1867;1,322;3,594;1,118;1,103
0,1873;1,323;3,588;1,112;1,103
0,1880;1,321;3,574;1,109;1,101
0,1887;1,321;3,557;1,112;1,1
0,1893;1,321;3,549;1,112;1,1
0,1900;1,321;3,546;1,112;1,1
0,1907;1,322;3,546;1,109;1,098
0,1913;1,319;3,546;1,109;1,098
0,1920;1,318;3,543;1,109;1,1
0,1927;1,317;3,54;1,109;1,1
0,1933;1,317;3,537;1,109;1,1
0,1940;1,317;3,537;1,109;1,1
0,1947;1,315;3,537;1,106;1,1
0,1953;1,305;3,535;1,106;1,1
0,1960;1,299;3,535;1,109;1,101
0,1967;1,297;3,535;1,118;1,102
0,1973;1,296;3,537;1,121;1,103
0,1980;1,293;3,537;1,121;1,104
0,1987;1,292;3,535;1,121;1,105
0,1993;1,292;3,535;1,121;1,105
0,2000;1,291;3,537;1,121;1,105
0,2007;1,29;3,537;1,124;1,101
0,2013;1,289;3,537;1,124;1,1
0,2020;1,286;3,537;1,124;1,098
0,2027;1,283;3,537;1,124;1,091
0,2033;1,279;3,535;1,124;1,087
0,2040;1,277;3,535;1,124;1,088
0,2047;1,276;3,535;1,124;1,088
0,2053;1,277;3,532;1,124;1,086
0,2060;1,276;3,532;1,124;1,086
0,2067;1,276;3,529;1,134;1,086
0,2073;1,273;3,526;1,137;1,084
0,2080;1,267;3,526;1,134;1,081
0,2087;1,26;3,523;1,131;1,081
0,2093;1,259;3,523;1,131;1,08
0,2100;1,26;3,523;1,127;1,08
0,2107;1,26;3,526;1,127;1,08
0,2113;1,259;3,526;1,127;1,08
0,2120;1,258;3,526;1,127;1,079
0,2127;1,257;3,529;1,124;1,079
